,post_text,post_id,like,love,haha,wow,sad,angry,care,shares,comments,reaction_count,Day,date,hour,time
79,"Wondering what critics are saying about Mario’s latest 2D side-scrolling adventure? Check it out, then jump into the unexpected with Super Mario Bros. Wonder, available now only on Nintendo Switch!

http://ninten.do/618794VNT",648771947435330,160.0,50.0,1.0,0.0,0.0,0.0,8.0,12,17,219,Thursday,2023-11-02,23,2023-11-02 23:39:24
80,Trainers! Be sure to complete the storyline in Pokémon Scarlet or Pokémon Violet in order to play Pokémon Scarlet or Pokémon Violet The Hidden Treasure of Area Zero Part 2: The Indigo Disk DLC on 12/14!,648703554108836,666.0,243.0,7.0,20.0,0.0,1.0,10.0,105,135,947,Thursday,2023-11-02,21,2023-11-02 21:05:42
81,"Journey to Eternity Isle in Disney Dreamlight Valley: A Rift In Time, an expansion pass for the game coming to Nintendo Switch on December 5th! Adventure to this faraway land and discover new secrets and treasures! ✨",648280210817837,1103.0,413.0,2.0,17.0,0.0,2.0,7.0,216,327,1544,Thursday,2023-11-02,0,2023-11-02 00:30:38
82,What’s your favorite Oatchi quality?,648259587486566,325.0,102.0,0.0,0.0,0.0,2.0,8.0,22,32,437,Thursday,2023-11-02,0,2023-11-02 00:00:01
83,"United by their endless imagination and love of snowball fights, best friends Nunu and Willump embark on a journey across Freljord! Song of Nunu: A League of Legends Story from Riot Forge and Tequila Works is available now on #NintendoSwitch!

❄️: http://ninten.do/61839Nnqt",648231727489352,225.0,52.0,5.0,4.0,0.0,0.0,2.0,35,16,288,Wednesday,2023-11-01,23,2023-11-01 23:02:23
84,"Head to the starting line, Wave 6 is almost here! Eight additional courses and four new characters come to the final Wave of the Mario Kart 8 Deluxe – Booster Course Pass on 11/9.

Get the Booster Course Pass now: http://ninten.do/61879NepL",648148964164295,865.0,382.0,1.0,20.0,2.0,1.0,18.0,317,179,1289,Wednesday,2023-11-01,20,2023-11-01 20:01:59
85,"🎶Who’s the girl next door living in the haunted mansion? Ash-ley!🎶

Happy Halloween!

WarioWare: Move It! arrives this Friday!",647745824204609,431.0,218.0,0.0,3.0,0.0,0.0,10.0,117,15,662,Wednesday,2023-11-01,1,2023-11-01 01:30:00
86,"Celebrate spooky season with Suika Game’s Halloween update! Combine fruits to create big watermelons (or cute pumpkins)! Are you playing this hit game on #NintendoSwitch? 🎃

🍉: http://ninten.do/618492avo",647736124205579,163.0,38.0,0.0,4.0,0.0,0.0,2.0,27,20,207,Wednesday,2023-11-01,1,2023-11-01 01:00:03
87,"Three classic titles are now live for Nintendo Switch Online members!

NES:
☑️ The Mysterious Murasame Castle
☑️ DEVIL WORLD

Game Boy:
☑️ Castlevania Legends",647349997577525,1159.0,306.0,14.0,19.0,2.0,1.0,13.0,211,187,1514,Tuesday,2023-10-31,8,2023-10-31 08:03:44
88,"Mario, Mallow, and… Bowser? Join this team of unlikely heroes in Super Mario RPG as they try and stop the troublemaking Smithy Gang!

Available 11/17:
http://ninten.do/618590tID",647189700926888,1865.0,755.0,3.0,18.0,0.0,0.0,35.0,177,217,2676,Tuesday,2023-10-31,1,2023-10-31 01:00:00
89,The first F-ZERO game has returned as a 99-player battle royale! Which machine have you been using most in F-Zero 99?,647166684262523,356.0,90.0,0.0,5.0,0.0,2.0,5.0,38,21,458,Tuesday,2023-10-31,0,2023-10-31 00:00:23
90,"Expect the unexpected in Super Mario Bros. Wonder! What are you enjoying in the Flower Kingdom?

http://ninten.do/61849FTIr",645738844405307,519.0,151.0,0.0,2.0,1.0,0.0,9.0,53,59,682,Saturday,2023-10-28,6,2023-10-28 06:00:18
91,"To celebrate the two-year anniversary of the Pokémon Café ReMix major update, Latias and Latios in their celebration outfits will appear in special deliveries!

And be sure to log in to get an express delivery ticket!

This event is active until 11/20/23 9:59pm PT.

http://ninten.do/61809FK3O",645647254414466,176.0,35.0,2.0,4.0,0.0,0.0,1.0,16,5,218,Saturday,2023-10-28,2,2023-10-28 02:00:01
92,"Splatoween is almost here! Will you shuffle with Team Zombie, shake your bones with Team Skeleton, or party like a poltergeist with Team Ghost?

This Splatoon 3 in-game event kicks off tonight at 5pm PT!",645482841097574,494.0,273.0,2.0,5.0,0.0,0.0,10.0,126,28,784,Friday,2023-10-27,20,2023-10-27 20:00:03
